REGION,States/UTs,District,Year,CRIME_TYPE,COUNT
Telangana (state),Telangana,Adilabad,2014,Sexual Harassment,52
Telangana (state),Telangana,Adilabad,2014,Stalking,36
Telangana (state),Telangana,Adilabad,2014,Theft,505
Telangana (state),Telangana,Adilabad,2014,Total Cognizable IPC crimes,6036
Telangana (state),Telangana,Adilabad,2014,Unlawful Assembly,0
Telangana (state),Telangana,Adilabad,2014,Unnatural Offence,0
Telangana (state),Telangana,Adilabad,2014,Using forged or counterfeiting currency/Bank notes,0
Telangana (state),Telangana,Adilabad,2014,Voyeurism,2
Telangana (state),Telangana,Cyberabad,2014,Acid attack,1
Telangana (state),Telangana,Cyberabad,2014,Arson,57
Telangana (state),Telangana,Cyberabad,2014,Assault on Women with intent to outrage her Modesty,376
Telangana (state),Telangana,Cyberabad,2014,Assault or use of criminal force to women with intent to Disrobe,24
Telangana (state),Telangana,Cyberabad,2014,At Office premises,1
Telangana (state),Telangana,Cyberabad,2014,Attempt to Acid Attack,0
Telangana (state),Telangana,Cyberabad,2014,Attempt to commit Culpable Homicide,1
Telangana (state),Telangana,Cyberabad,2014,Attempt to commit Murder,124
Telangana (state),Telangana,Cyberabad,2014,Attempt to commit Rape,3
Telangana (state),Telangana,Cyberabad,2014,Auto Theft,1698
Telangana (state),Telangana,Cyberabad,2014,Causing Death by Negligence,1038
Telangana (state),Telangana,Cyberabad,2014,Cheating,2347
Telangana (state),Telangana,Cyberabad,2014,Counterfeit Offences related to Counterfeit Coin,0
Telangana (state),Telangana,Cyberabad,2014,Counterfeit currency & Bank notes,9
Telangana (state),Telangana,Cyberabad,2014,Counterfeiting,9
Telangana (state),Telangana,Cyberabad,2014,Counterfeiting Government Stamp,0
Telangana (state),Telangana,Cyberabad,2014,Counterfeiting currency notes/Bank notes,2
Telangana (state),Telangana,Cyberabad,2014,Criminal Breach of Trust,190
Telangana (state),Telangana,Cyberabad,2014,Criminal Trespass or Burglary,877
Telangana (state),Telangana,Cyberabad,2014,Criminal Trespass/Burglary,1122
Telangana (state),Telangana,Cyberabad,2014,Cruelty by Husband or his Relatives,1329
Telangana (state),Telangana,Cyberabad,2014,Culpable Homicide not amounting to Murder,12
Telangana (state),Telangana,Cyberabad,2014,Custodial Rape,0
Telangana (state),Telangana,Cyberabad,2014,Custodial_Gang Rape,0
Telangana (state),Telangana,Cyberabad,2014,Custodial_Other Rape,0
Telangana (state),Telangana,Cyberabad,2014,Dacoity,15
Telangana (state),Telangana,Cyberabad,2014,Dacoity with Murder,1
Telangana (state),Telangana,Cyberabad,2014,Deaths due to Other Causes,71
Telangana (state),Telangana,Cyberabad,2014,Deaths due to negligent driving/act,967
Telangana (state),Telangana,Cyberabad,2014,Disclosure of Identity of Victims,0
Telangana (state),Telangana,Cyberabad,2014,Dowry Deaths,48
Telangana (state),Telangana,Cyberabad,2014,Extortion,51
Telangana (state),Telangana,Cyberabad,2014,Forgery,132
Telangana (state),Telangana,Cyberabad,2014,Grievous Hurt,182
Telangana (state),Telangana,Cyberabad,2014,House Trespass & House Breaking,245
Telangana (state),Telangana,Cyberabad,2014,HumanTrafficking,55
Telangana (state),Telangana,Cyberabad,2014,Hurt,181
Telangana (state),Telangana,Cyberabad,2014,Importation of Girls from Foreign Country,0
Telangana (state),Telangana,Cyberabad,2014,"Imputation, assertions prejudicial to national integration",0
Telangana (state),Telangana,Cyberabad,2014,In Public Transport system,3
Telangana (state),Telangana,Cyberabad,2014,Incidence of Rash Driving,2331
Telangana (state),Telangana,Cyberabad,2014,Insult to the Modesty of Women,271
Telangana (state),Telangana,Cyberabad,2014,Kidnapping & Abduction,55
Telangana (state),Telangana,Cyberabad,2014,Kidnapping & Abduction in order to Murder,1
Telangana (state),Telangana,Cyberabad,2014,Kidnapping & Abduction of Women to compel her for marriage,35
Telangana (state),Telangana,Cyberabad,2014,Kidnapping & Abduction_Total,165
Telangana (state),Telangana,Cyberabad,2014,Kidnapping for Ransom,1
Telangana (state),Telangana,Cyberabad,2014,Making Preparation and Assembly for committing Dacoity,1
Telangana (state),Telangana,Cyberabad,2014,Making or Possessing materials for forged currency/Bank notes,1
Telangana (state),Telangana,Cyberabad,2014,Making or Using documents resembling currency,0
Telangana (state),Telangana,Cyberabad,2014,Murder,144
Telangana (state),Telangana,Cyberabad,2014,Offences against State,2
Telangana (state),Telangana,Cyberabad,2014,Offences promoting enmity between different groups,7
Telangana (state),Telangana,Cyberabad,2014,Other Assault on Women,153
Telangana (state),Telangana,Cyberabad,2014,Other Dacoity,14
Telangana (state),Telangana,Cyberabad,2014,Other IPC crimes,4863
Telangana (state),Telangana,Cyberabad,2014,Other Kidnapping,73
Telangana (state),Telangana,Cyberabad,2014,Other Thefts,2484
Telangana (state),Telangana,Cyberabad,2014,Other offences against State,2
Telangana (state),Telangana,Cyberabad,2014,Other places related to work,9
Telangana (state),Telangana,Cyberabad,2014,"Places other than 231, 232 & 233",258
Telangana (state),Telangana,Cyberabad,2014,Possession of forged or counterfeiting currency/Bank notes,3
Telangana (state),Telangana,Cyberabad,2014,Promoting enmity between different groups,7
Telangana (state),Telangana,Cyberabad,2014,Rape,139
Telangana (state),Telangana,Cyberabad,2014,Rape other than Custodial,139
Telangana (state),Telangana,Cyberabad,2014,Rape_Gang Rape,6
Telangana (state),Telangana,Cyberabad,2014,Rape_Others,133
Telangana (state),Telangana,Cyberabad,2014,Riots,51
Telangana (state),Telangana,Cyberabad,2014,Riots_Agrarian,0
Telangana (state),Telangana,Cyberabad,2014,Riots_Caste Conflict,3
Telangana (state),Telangana,Cyberabad,2014,Riots_Communal,31
Telangana (state),Telangana,Cyberabad,2014,Riots_Industrial,3
Telangana (state),Telangana,Cyberabad,2014,Riots_Other Caste Conflict,3
Telangana (state),Telangana,Cyberabad,2014,Riots_Others,11
Telangana (state),Telangana,Cyberabad,2014,Riots_Political,3
Telangana (state),Telangana,Cyberabad,2014,Riots_SC/STs Vs Non-SCs/STs,0
Telangana (state),Telangana,Cyberabad,2014,Riots_Sectarian,0
Telangana (state),Telangana,Cyberabad,2014,Riots_Students,0
Telangana (state),Telangana,Cyberabad,2014,Robbery,62
